year,Base case cost,Modeled water and wastewater efficiency
2017,63586.3698104,46767.9880133
2018,66130.8637554,48551.3050568
2019,69572.0955997,50975.2481068
2020,71291.6579204,52171.4186968
2021,72603.5961979,53077.4468883
2022,73539.4736243,53715.8392616
2023,74286.2438339,54219.981627
2024,74928.4150624,54650.1593735
2025,75607.3613023,55107.2347335
2026,76574.2462213,55770.4104921
2027,77333.2262692,56285.8609604
2028,78037.0495328,56762.5657848
2029,78993.0343179,57419.7970331
2030,79693.7747396,57895.4814778
2031,80594.8112306,58514.6565479
