year,Base case cost,Modeled non-residential energy efficiency
2017,1514440.66015,1701131.48735
2018,1591290.4245,1767885.80777
2019,1698880.0946,1864225.75815
2020,1748063.94378,1904812.18451
2021,1784951.83067,1933780.43993
2022,1809543.75526,1951126.95646
2023,1827987.69871,1962733.45072
2024,1843357.65158,1971539.12053
2025,1858727.60445,1980483.24343
2026,1883319.52904,1998390.37573
2027,1898689.48191,2007601.74591
2028,1914059.43478,2016942.06061
2029,1935577.3688,2032293.49851
2030,1947873.3311,2038940.10619
2031,1969391.26511,2054534.60407
