year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,206226.54,2749.99,256864.39,65765.55
2018,209083.31,2763.87,256864.39,67927.57
2019,212254.76,2774.52,256864.39,70089.6
2020,214494.39,2787.47,256864.39,72251.62
2021,216857.29,2798.07,256864.39,74413.65
2022,219202.96,2808.38,256864.39,75494.66
2023,221297.94,2818.45,256864.39,77656.69
2024,223320.13,2827.82,256864.39,78737.7
2025,225769.2,2839.08,256864.39,80899.73
2026,228179.04,2850.32,256864.39,83061.75
2027,231430.8,2865.56,256864.39,85223.78
2028,234085.22,2877.64,256864.39,87385.81
2029,237323.98,2892.75,256864.39,90628.84
2030,240937.3,2909.41,256864.39,92790.87
2031,243442.87,2921.15,256864.39,94952.9
2032,245947.94,,,97114.92
2033,248527.8,,,99276.95
2034,251107.1,,,101438.97
2035,253686.41,,,103601.0
2036,256265.9,,,105763.02
