year,Base case cost,Modeled residential energy efficiency
2017,702938.328243,650442.919166
2018,748311.841478,689672.179688
2019,806994.407851,740229.329792
2020,844576.041484,773525.631895
2021,878095.668942,803588.098596
2022,897631.985579,820494.835679
2023,924513.815445,845172.58342
2024,940688.223681,859367.090689
2025,966812.609634,883534.453742
2026,997302.461438,911487.362453
2027,1024086.328,936358.366205
2028,1051156.92526,961537.40752
2029,1091570.47416,999678.699905
2030,1117854.95444,1024313.50554
2031,1148920.66008,1053147.11804
2032,1180387.78871,1082401.53201
2033,1213830.96672,1113450.16564
2034,1246129.61438,1143573.50369
2035,1275565.73992,1171253.87526
2036,1310270.53301,1203618.27696
