year,Base case diesel consumed,Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek)
2020,33695.0089959,,0.0,,
2021,33695.0089959,0.0,0.0,0.0,0.0
2022,33695.0089959,0.0,0.0,0.0,0.0
2023,33695.0089959,0.0,0.0,0.0,0.0
2024,33695.0089959,0.0,0.0,0.0,0.0
2025,33695.0089959,0.0,0.0,0.0,0.0
2026,33695.0089959,0.0,0.0,0.0,0.0
2027,33695.0089959,0.0,0.0,0.0,0.0
2028,33695.0089959,0.0,0.0,0.0,0.0
2029,33695.0089959,0.0,0.0,0.0,0.0
2030,33695.0089959,0.0,0.0,0.0,0.0
2031,33695.0089959,0.0,0.0,0.0,0.0
2032,33695.0089959,0.0,0.0,0.0,0.0
2033,33695.0089959,0.0,0.0,0.0,0.0
2034,33695.0089959,0.0,0.0,0.0,0.0
2035,33695.0089959,0.0,0.0,0.0,0.0
2036,33695.0089959,0.0,0.0,0.0,0.0
2037,33695.0089959,0.0,0.0,0.0,0.0
2038,33695.0089959,0.0,0.0,0.0,0.0
2039,33695.0089959,0.0,0.0,0.0,0.0
2040,33695.0089959,0.0,0.0,0.0,0.0
2041,33695.0089959,0.0,0.0,0.0,0.0
2042,33695.0089959,0.0,0.0,0.0,0.0
2043,33695.0089959,0.0,0.0,0.0,0.0
2044,33695.0089959,0.0,0.0,0.0,0.0
2045,33695.0089959,0.0,0.0,0.0,0.0
2046,33695.0089959,0.0,0.0,0.0,0.0
2047,33695.0089959,0.0,0.0,0.0,0.0
2048,33695.0089959,0.0,0.0,0.0,0.0
2049,33695.0089959,0.0,0.0,0.0,0.0
2050,33695.0089959,0.0,0.0,0.0,0.0
2051,33695.0089959,0.0,0.0,0.0,0.0
2052,33695.0089959,0.0,0.0,0.0,0.0
2053,33695.0089959,0.0,0.0,0.0,0.0
2054,33695.0089959,0.0,0.0,0.0,0.0
2055,33695.0089959,0.0,0.0,0.0,0.0
2056,33695.0089959,0.0,0.0,0.0,0.0
2057,33695.0089959,0.0,0.0,0.0,0.0
2058,33695.0089959,0.0,0.0,0.0,0.0
2059,33695.0089959,0.0,0.0,0.0,0.0
2060,33695.0089959,0.0,0.0,0.0,0.0
2061,33695.0089959,0.0,0.0,0.0,0.0
2062,33695.0089959,0.0,0.0,0.0,0.0
2063,33695.0089959,0.0,0.0,0.0,0.0
2064,33695.0089959,0.0,0.0,0.0,0.0
2065,33695.0089959,0.0,0.0,0.0,0.0
2066,33695.0089959,0.0,0.0,0.0,0.0
2067,33695.0089959,0.0,0.0,0.0,0.0
2068,33695.0089959,0.0,0.0,0.0,0.0
2069,33695.0089959,0.0,0.0,0.0,0.0
2070,33695.0089959,0.0,,0.0,0.0
