year,Base case diesel consumed,Modeled transmission and interties
2021,52254.5341645,0.0
2022,52254.5341645,0.0
2023,52254.5341645,0.0
2024,52254.5341645,0.0
2025,52254.5341645,0.0
2026,52254.5341645,0.0
2027,52254.5341645,0.0
2028,52254.5341645,0.0
2029,52254.5341645,0.0
2030,52254.5341645,0.0
2031,52254.5341645,0.0
2032,52254.5341645,0.0
2033,52254.5341645,0.0
2034,52144.9858749,0.0
2035,52144.9858749,0.0
2036,52144.9858749,0.0
2037,52144.9858749,0.0
2038,52144.9858749,0.0
2039,52144.9858749,0.0
2040,52144.9858749,0.0
