year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,521200.0,4039.11,579937.0,0.0,579937.0
2004,,521200.0,4039.11,542805.0,0.0,542805.0
2005,,521200.0,4039.11,543387.0,0.0,543387.0
2006,,521200.0,4039.11,538592.0,0.0,538592.0
2007,,521200.0,4039.11,502608.0,0.0,502608.0
2008,,521200.0,4039.11,506802.0,0.0,506802.0
2009,,521200.0,4039.11,524995.0,0.0,524995.0
2010,,521200.0,4039.11,531485.0,0.0,531485.0
2011,,521200.0,4039.11,523894.0,0.0,523894.0
2012,,521200.0,4039.11,462930.0,0.0,462930.0
2013,,521200.0,4039.11,395032.0,0.0,395032.0
2014,,521200.0,4039.11,446893.0,0.0,446893.0
2015,,521200.0,4039.11,642813.0,561994.0,80819.0
2016,start of forecast,521200.0,4039.11,478000.0,170418.67,307581.33
2017,,521200.0,4039.11,478000.0,170418.67,307581.33
2018,,521200.0,4039.11,478000.0,170418.67,307581.33
2019,,521200.0,4039.11,477000.0,169418.67,307581.33
2020,,521200.0,4039.11,477000.0,169418.67,307581.33
2021,,521200.0,4039.11,477000.0,169418.67,307581.33
2022,,521200.0,4039.11,477000.0,169418.67,307581.33
2023,,521200.0,4039.11,477000.0,169418.67,307581.33
2024,,521200.0,4039.11,477000.0,169418.67,307581.33
2025,,521200.0,4039.11,477000.0,169418.67,307581.33
2026,,521200.0,4039.11,477000.0,169418.67,307581.33
2027,,521200.0,4039.11,477000.0,169418.67,307581.33
2028,,521200.0,4039.11,477000.0,169418.67,307581.33
2029,,521200.0,4039.11,477000.0,169418.67,307581.33
2030,,521200.0,4039.11,477000.0,169418.67,307581.33
2031,,521200.0,4039.11,477000.0,169418.67,307581.33
2032,,521200.0,4039.11,477000.0,169418.67,307581.33
2033,,521200.0,4039.11,477000.0,169418.67,307581.33
2034,,521200.0,4039.11,476000.0,168418.67,307581.33
2035,,521200.0,4039.11,476000.0,168418.67,307581.33
2036,,521200.0,4039.11,476000.0,168418.67,307581.33
2037,,521200.0,4039.11,476000.0,168418.67,307581.33
2038,,521200.0,4039.11,476000.0,168418.67,307581.33
2039,,521200.0,4039.11,476000.0,168418.67,307581.33
2040,,521200.0,4039.11,476000.0,168418.67,307581.33
