year,Base case cost,Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek)
2020,120628.132205,,169391.275314,,
2021,126019.333645,945067.984256,166573.502083,2025977.31283,271660.035663
2022,130399.684814,925299.646317,163754.016017,1985348.47793,266878.32055
2023,133095.285534,906182.076411,160879.420014,1945744.22511,262060.426676
2024,135453.936163,887545.011405,158051.225763,1907080.71569,257329.798243
2025,138486.486973,869258.358327,155345.174352,1869290.03922,252778.372224
2026,141855.987873,851351.955229,152733.801773,1832366.4239,248371.854483
2027,144888.538682,833895.798986,150163.871544,1796320.00237,244044.4406
2028,147247.189312,816920.194892,147607.996204,1761145.98415,239761.962469
2029,150616.690212,800216.139879,145193.692422,1726747.60612,235679.757298
2030,152638.390751,784053.918442,142738.778609,1693213.45939,231574.332617
2031,156344.841741,768065.273656,140474.087535,1660386.06442,227727.439395
2032,160051.29273,752441.0703,138269.129588,1628324.0893,223978.847938
2033,163757.74372,737172.766635,136122.50481,1597009.5942,220326.254256
2034,167464.194709,722252.02148,134032.845983,1566425.06052,216767.408463
2035,170159.795429,707790.45558,131921.384409,1536599.60232,213205.391021
2036,174203.196509,693500.658167,129967.494594,1507408.65896,209859.074886
2037,176561.847138,679734.161101,127937.602479,1478974.58307,206442.197789
2038,180605.248218,666084.155105,126088.576609,1451127.36468,203268.454306
2039,183637.799027,652862.609896,124212.713091,1423974.70516,200083.2534
2040,188018.150197,639782.834413,122489.504456,1397393.55544,197105.662153
2041,188018.150197,627516.442023,120479.002295,1371631.00635,193797.015278
2042,188018.150197,615537.543195,118515.621288,1346472.26698,190565.914811
2043,188018.150197,603839.399859,116598.257015,1321903.18568,187410.543275
2044,188018.150197,592415.431713,114725.830975,1297909.94212,184329.125747
2045,188018.150197,581259.212864,112897.289917,1274479.0403,181319.928954
2046,188018.150197,570364.46788,111111.605295,1251597.30021,178381.260208
2047,188018.150197,559725.068508,109367.772657,1229251.85096,175511.466517
2048,188018.150197,549335.030058,107664.81108,1207430.12318,172708.933616
2049,188018.150197,539188.508039,106001.762676,1186119.84194,169972.085054
2050,188018.150197,529279.795199,104377.691971,1165309.02057,167299.381398
2051,188018.150197,519603.317829,102791.685423,1144985.95284,164689.319238
2052,188018.150197,510153.632892,101242.850909,1125139.20701,162140.430409
2053,188018.150197,500925.42498,99730.317191,1105757.61935,159651.28117
2054,188018.150197,491913.503114,98253.233487,1086830.28749,157220.471347
2055,188018.150197,483112.798197,96810.7689335,1068346.56504,154846.633636
2056,188018.150197,474518.359808,95402.1121449,1050296.05484,152528.432749
2057,188018.150197,466125.353581,94026.4707441,1032668.60351,150264.564698
2058,188018.150197,457929.058403,92683.0709497,1015454.29549,148053.756046
2059,188018.150197,449924.863959,91371.1570791,998643.447951,145894.763239
2060,188018.150197,442108.267769,90089.9911906,982226.604543,143786.371811
2061,188018.150197,434474.873058,88838.8526283,966194.530912,141727.395809
2062,188018.150197,427020.386039,87617.0376222,950538.209015,139716.677058
2063,188018.150197,419740.613536,86423.8589165,935248.832115,137753.084522
2064,188018.150197,412631.460768,85258.6453278,920317.800125,135835.513704
2065,188018.150197,405688.928716,84120.7414287,905736.714087,133962.885937
2066,188018.150197,398909.112235,83009.5071615,891497.372204,132134.147878
2067,188018.150197,392288.197758,81924.3174386,877591.765012,130348.270882
2068,188018.150197,385822.460911,80864.5618526,864012.070378,128604.250363
2069,188018.150197,379508.264788,79829.6442912,850750.649872,126901.10533
2070,188018.150197,373342.057655,,837800.043946,125237.877763
