year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6109.96988547,3971.48042556
2018,6109.29656607,3971.04276794
2019,6108.82358644,3970.73533119
2020,6108.37435988,3970.44333392
2021,6107.87036782,3970.11573908
2022,6107.38226897,3969.79847483
2023,6106.53596585,3969.2483778
2024,6105.87091998,3968.81609799
2025,6105.38123314,3968.49780154
2026,6105.11848151,3968.32701298
2027,6104.76402702,3968.09661756
2028,6104.33581792,3967.81828165
2029,6104.89701751,3968.18306138
2030,6105.20403259,3968.38262118
2031,6105.2489499,3968.41181744
