year,annotation,diesel generation efficiency
2002,,11.54
2003,,11.9
2004,,11.66
2005,,11.81
2006,,11.21
2007,,10.9
2008,,11.32
2009,,11.43
2010,,11.12
2011,,12.07
2012,,10.97
2013,,10.49
2014,,11.1
2015,,5.79
2016,start of forecast,9.13
2017,,9.13
2018,,9.13
2019,,9.13
2020,,9.13
2021,,9.13
2022,,9.13
2023,,9.13
2024,,9.13
2025,,9.13
2026,,9.13
2027,,9.13
2028,,9.13
2029,,9.13
2030,,9.13
2031,,9.13
2032,,9.13
2033,,9.13
2034,,9.13
2035,,9.13
2036,,9.13
2037,,9.13
2038,,9.13
2039,,9.13
2040,,9.13
