year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8967.34918383,5828.77696949
2018,8967.86796837,5829.11417944
2019,8968.326824,5829.4124356
2020,8968.81910663,5829.73241931
2021,8969.38290443,5830.09888788
2022,8969.93631455,5830.45860446
2023,8970.58521139,5830.8803874
2024,8971.25088832,5831.31307741
2025,8971.95491974,5831.77069783
2026,8972.68372178,5832.24441916
2027,8973.47664775,5832.75982104
2028,8974.31218983,5833.30292339
2029,8974.90318203,5833.68706832
2030,8975.58687758,5834.13147043
2031,8976.38248037,5834.64861224
