year,Base case cost,Modeled water and wastewater efficiency
2017,48318.7921504,34593.6934056
2018,51464.8226945,36675.2573341
2019,56009.8811146,39699.3040192
2020,58223.3995522,41154.836809
2021,59737.2861516,42140.2073137
2022,60901.4834133,42890.9888051
2023,61715.700399,43406.9005809
2024,62296.7262764,43766.5864457
2025,63110.7891804,44283.8057644
2026,64041.3542415,44880.1147008
2027,64855.1694065,45398.4822397
2028,65552.294133,45838.9485868
2029,66483.2351621,46437.6003437
2030,66947.6338221,46722.8338413
2031,67994.5789688,47400.6604371
