year,Base case cost,Modeled water and wastewater efficiency
2017,49901.5526644,43450.9877281
2018,52567.8903624,45023.5134038
2019,56369.8673812,47323.4468675
2020,58140.8579594,48329.2736886
2021,59455.8831758,49046.5454817
2022,60327.668373,49483.6735196
2023,61018.1744542,49807.8026914
2024,61528.2713681,50019.4448457
2025,62116.5086634,50283.542632
2026,62953.6356234,50709.0523559
2027,63493.1063285,50946.7601092
2028,64012.0851525,51173.8221676
2029,64650.8880739,51480.3502039
2030,64994.4897342,51600.4977313
2031,65741.4153721,51980.7119435
