year,Base case cost,"Sand point (unnamed stream, site #2) -- unnamed creek",Sand point -- humbolt creek
2021,736285.059374,906229.47625,1118046.56112
2022,758840.50024,923625.356512,1130511.97374
2023,776539.65676,936472.792103,1138620.91813
2024,790344.300645,945731.302021,1143330.44266
2025,806101.616774,956928.285441,1150035.68977
2026,828886.821253,974925.086223,1163509.08444
2027,844752.703803,986407.567704,1170693.8771
2028,860817.610019,998174.440843,1178256.68766
2029,878885.566312,1011921.8693,1187848.20406
2030,890474.965292,1019589.73948,1191579.29513
2031,913359.532485,1038102.97337,1206026.53946
2032,934001.529142,1054557.14039,1218543.15084
2033,956920.995068,1073258.73674,1233347.06699
2034,979851.512311,1092045.42935,1248317.28724
2035,993743.103641,1102288.95325,1254996.76862
2036,1017021.89671,1121566.84593,1270614.93925
2037,1033203.16891,1134133.76325,1279727.60919
2038,1056194.33054,1153260.32765,1295343.94029
2039,1074665.31069,1168144.19957,1306876.2686
2040,1100298.15552,1189936.5741,1325257.69209
2041,1100644.8837,1187670.03172,1320125.07904
2042,1100991.59369,1185464.71969,1315120.86987
2043,1101684.99513,1183665.91213,1310588.76434
2044,1102031.70639,1181578.82552,1305832.44143
2045,1102378.41202,1179548.77543,1301195.71526
2046,1103071.82201,1177921.13492,1297022.49264
2047,1103418.52903,1176001.19106,1292616.62875
2048,1103765.23463,1174134.37041,1288322.15183
2049,1104458.64605,1172666.13508,1284483.15841
2050,1104805.35212,1170901.85801,1280403.6879
2051,1104805.35212,1168840.35105,1276081.24984
2052,1104805.35212,1166827.16065,1271860.11892
2053,1104805.35212,1164861.1544,1267737.92077
2054,1104805.35212,1162941.22642,1263712.3366
2055,1104805.35212,1161066.29675,1259781.10208
2056,1104805.35212,1159235.31074,1255942.00587
2057,1104805.35212,1157447.23848,1252192.88848
2058,1104805.35212,1155701.07415,1248531.64102
2059,1104805.35212,1153995.83556,1244956.20407
2060,1104805.35212,1152330.56349,1241464.56641
2061,1104805.35212,1150704.32123,1238054.764
2062,1104805.35212,1149116.19403,1234724.87884
2063,1104805.35212,1147565.28855,1231473.03785
2064,1104805.35212,1146050.73244,1228297.41191
2065,1104805.35212,1144571.67372,1225196.21469
2066,1104805.35212,1143127.28044,1222167.70176
2067,1104805.35212,1141716.74013,1219210.16963
2068,1104805.35212,1140339.25935,1216321.95464
2069,1104805.35212,1138994.06329,1213501.43219
2070,1104805.35212,1137680.39526,1210747.01574
