year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.45
2004,,2.15,2.5
2005,,2.7,3.15
2006,,3.28,3.16
2008,,4.46,4.6
2009,,3.3,3.57
2010,,3.56,3.87
2011,,4.15,4.78
2012,,4.6,5.11
2013,,4.6,5.2
2014,,4.64,5.19
2016,start of forecast,1.77,2.49
2017,,2.18,2.9
2018,,2.48,3.2
2019,,2.91,3.63
2020,,3.11,3.83
2021,,3.26,3.98
2022,,3.36,4.08
2023,,3.44,4.16
2024,,3.5,4.22
2025,,3.57,4.29
2026,,3.67,4.39
2027,,3.74,4.46
2028,,3.81,4.53
2029,,3.89,4.61
2030,,3.94,4.66
2031,,4.04,4.76
2032,,4.13,4.85
2033,,4.23,4.95
2034,,4.33,5.05
2035,,4.39,5.11
2036,,4.49,5.21
2037,,4.56,5.28
2038,,4.66,5.38
2039,,4.74,5.46
2040,,4.85,5.57
