year,Base case diesel consumed,"Sand point (unnamed stream, site #2) -- unnamed creek",Sand point -- humbolt creek
2021,225854.312691,214129.487178,209335.827119
2022,225845.386976,214120.561463,209326.901403
2023,225738.272314,214013.4468,209219.786741
2024,225812.657327,214087.831814,209294.171754
2025,225798.772206,214073.946692,209280.286633
2026,225854.719688,214129.894174,209336.234115
2027,225869.706899,214144.881386,209351.221327
2028,225936.380582,214211.555069,209417.89501
2029,225934.592882,214209.767369,209416.10731
2030,226008.87444,214284.048926,209490.388867
2031,226079.092199,214354.266686,209560.606626
2032,226150.491318,214425.665804,209632.005745
2033,226222.457463,214497.631949,209703.97189
2034,226293.651804,214568.82629,209775.166231
2035,226365.171672,214640.346159,209846.686099
2036,226508.217529,214783.392016,209989.731956
2037,226579.642305,214854.816791,210061.156732
2038,226651.143892,214926.318379,210132.65832
2039,226722.639386,214997.813873,210204.153813
2040,226865.599077,215140.773564,210347.113504
2041,226937.089422,215212.263908,210418.603849
2042,227008.576019,215283.750505,210490.090446
2043,227151.545389,215426.719875,210633.059816
2044,227223.032246,215498.206733,210704.546673
2045,227294.517941,215569.692428,210776.032369
2046,227437.489075,215712.663561,210919.003502
2047,227508.975057,215784.149544,210990.489484
2048,227580.460748,215855.635234,211061.975175
2049,227723.432176,215998.606663,211204.946603
2050,227794.917964,216070.09245,211276.432391
2051,227794.917964,216070.09245,211276.432391
2052,227794.917964,216070.09245,211276.432391
2053,227794.917964,216070.09245,211276.432391
2054,227794.917964,216070.09245,211276.432391
2055,227794.917964,216070.09245,211276.432391
2056,227794.917964,216070.09245,211276.432391
2057,227794.917964,216070.09245,211276.432391
2058,227794.917964,216070.09245,211276.432391
2059,227794.917964,216070.09245,211276.432391
2060,227794.917964,216070.09245,211276.432391
2061,227794.917964,216070.09245,211276.432391
2062,227794.917964,216070.09245,211276.432391
2063,227794.917964,216070.09245,211276.432391
2064,227794.917964,216070.09245,211276.432391
2065,227794.917964,216070.09245,211276.432391
2066,227794.917964,216070.09245,211276.432391
2067,227794.917964,216070.09245,211276.432391
2068,227794.917964,216070.09245,211276.432391
2069,227794.917964,216070.09245,211276.432391
2070,227794.917964,216070.09245,211276.432391
