year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9419.22385929,6122.49550854
2018,9413.33151643,6118.66548568
2019,9407.23341768,6114.70172149
2020,9401.27115777,6110.82625255
2021,9395.66181251,6107.18017813
2022,9390.24956674,6103.66221838
2023,9385.14162663,6100.34205731
2024,9380.12491163,6097.08119256
2025,9375.38986246,6094.0034106
2026,9370.90385118,6091.08750327
2027,9366.95919766,6088.52347848
2028,9363.51594928,6086.28536703
2029,9358.92939062,6083.3041039
2030,9355.13189584,6080.83573229
2031,9352.28860236,6078.98759153
