year,Base case cost,Modeled non-residential energy efficiency
2017,458653.14044,452435.243362
2018,483491.189665,475391.685108
2019,517298.534443,506637.95304
2020,533167.288114,521304.5686
2021,544206.421103,531507.431598
2022,552485.770844,539159.578847
2023,558005.337338,544261.010346
2024,562834.958021,548724.762908
2025,568354.524515,553826.194407
2026,575253.982633,560202.983781
2027,581463.494939,565942.094217
2028,586293.115622,570405.846779
2029,592502.627928,576144.957215
2030,595952.356987,579333.351902
2031,603541.760917,586347.820214
