year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,51613.21,267906.36,243583.45,17570.24,190746.78,142797.22
2018,54969.72,285507.46,259125.6,18265.86,197983.73,148214.96
2019,59543.66,309464.51,288346.95,19206.16,207834.03,159578.58
2020,61668.21,320709.65,298562.44,19664.94,212457.64,163128.66
2021,63134.72,328532.36,305668.87,19992.73,215674.06,165598.29
2022,64225.19,334399.39,319699.17,20245.7,218086.38,171636.77
2023,64941.06,338310.75,323351.79,20422.91,219694.59,172902.45
2024,65562.96,341733.18,326547.83,20581.3,221101.77,174009.93
2025,66279.89,345644.54,330200.45,20757.23,222709.99,175275.61
2026,67185.27,350533.73,343876.74,20969.66,224720.25,181171.32
2027,68000.01,354934.01,348097.77,21160.71,226529.49,182629.94
2028,68630.46,358356.44,351380.79,21311.68,227936.67,183764.42
2029,69439.15,362756.72,355601.81,21507.04,229745.91,185223.04
2030,69878.73,365201.31,357946.83,21622.93,230751.04,186033.39
2031,70886.24,370579.43,363105.86,21846.61,232962.33,187816.15
2032,,,377540.11,,,193947.24
2033,,,382354.39,,,195606.52
2034,,,377644.95,,,192840.3
2035,,,380927.97,,,193974.78
2036,,,386087.0,,,195757.54
