year,Base case diesel consumed,Modeled solar power (pv)
2016,31706.3892823,31341.7115138
2017,31642.0761195,31280.3157731
2018,31642.0761195,31283.2098559
2019,31642.0761195,31286.080786
2020,31577.7629566,31224.6155858
2021,31577.7629566,31227.4407648
2022,31577.7629566,31230.2433423
2023,31577.7629566,31233.0234992
2024,31513.4497938,31171.4682521
2025,31513.4497938,31174.2041044
2026,31513.4497938,31176.9180699
2027,31513.4497938,31179.6103237
2028,31449.1366309,31117.9678766
2029,31449.1366309,31120.6172266
2030,31449.1366309,31123.2453819
2031,31449.1366309,31125.8525119
2032,31449.1366309,31128.4387848
2033,31449.1366309,31131.0043676
2034,31449.1366309,31133.5494257
2035,31449.1366309,31136.0741233
