year,Base case cost,Modeled water and wastewater efficiency
2017,69183.4487872,54869.1154417
2018,73235.5880403,57572.5686922
2019,78749.8223731,61250.8510264
2020,81333.1499413,62975.8913148
2021,83127.4561845,64174.9698924
2022,84470.8899779,65073.4990343
2023,85363.9677053,65671.7198038
2024,86144.2593814,66194.749033
2025,87037.1198564,66792.700862
2026,88154.9281929,67540.5194889
2027,89160.7229171,68213.3910428
2028,89942.1389589,68736.4081097
2029,90946.1903212,69408.5780131
2030,91501.6552481,69781.2186232
2031,92732.853835,70603.8662043
