year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,16626.1064867,7847.18245007
2018,17297.8591775,8164.23599056
2019,17982.2839951,8487.2705159
2020,18677.7996314,8815.53968097
2021,19385.1209242,9149.38087466
2022,20108.385269,9490.74686297
2023,20849.8021645,9840.68048428
2024,21606.2089947,10197.6890483
2025,22374.6597608,10560.382104
2026,23152.5333904,10927.5225586
2027,23939.9381922,11299.1615318
2028,24738.8670479,11676.2396228
2029,25559.522644,12063.5722913
2030,26391.1607501,12456.0884799
2031,27235.1677183,12854.4425188
