year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2005,,1.81,3.95
2008,,3.17,5.05
2009,,4.05,5.95
2010,,2.88,5.95
2013,,3.5,6.33
2014,,,6.33
2016,,1.76,3.96
2017,,2.09,4.29
2018,,2.34,4.54
2019,,2.68,4.88
2020,,2.84,5.04
2021,,2.95,5.15
2022,,3.04,5.24
2023,,3.09,5.29
2024,,3.14,5.34
2025,,3.2,5.4
2026,,3.27,5.47
2027,,3.32,5.52
2028,,3.37,5.57
2029,,3.44,5.64
2030,,3.47,5.67
2031,,3.54,5.74
2032,,3.61,5.81
2033,,3.69,5.89
2034,,3.76,5.96
2035,,3.81,6.01
2036,,3.88,6.08
2037,,3.93,6.13
2038,,4.01,6.21
2039,,4.06,6.26
2040,,4.15,6.35
