year,Base case diesel consumed,Modeled diesel efficiency
2019,160627.122677,146024.656979
2020,163834.303379,148940.275799
2021,167004.933442,151822.666765
2022,170316.080397,154832.800361
2023,173676.133786,157887.394351
2024,177113.224899,161012.022635
2025,180639.136362,164217.396693
2026,184158.395506,167416.723187
2027,187756.803397,170688.003089
2028,191435.063711,174031.876101
2029,195190.187139,177445.624672
2030,198945.691505,180859.71955
2031,202779.641526,184345.12866
2032,206691.568279,187901.425708
2033,210603.602481,191457.820437
2034,214672.133946,195156.485406
2035,218740.618738,198855.107944
2036,222887.369706,202624.881551
2037,227190.600084,206536.909168
2038,231493.822945,210448.92995
