year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,154557.13,16626.11,159407.09,65249.56
2018,157384.45,17297.86,159407.09,69529.22
2019,160627.12,17982.28,159407.09,73808.87
2020,163834.3,18677.8,159407.09,78088.53
2021,167004.93,19385.12,159407.09,82979.56
2022,170316.08,20108.39,159407.09,87259.22
2023,173676.13,20849.8,159407.09,92150.25
2024,177113.22,21606.21,159407.09,96429.91
2025,180639.14,22374.66,159407.09,101320.94
2026,184158.4,23152.53,159407.09,106211.97
2027,187756.8,23939.94,159407.09,111103.01
2028,191435.06,24738.87,159407.09,116605.42
2029,195190.19,25559.52,159407.09,121496.46
2030,198945.69,26391.16,159407.09,126998.87
2031,202779.64,27235.17,159407.09,131889.91
2032,206691.57,28085.95,159407.09,137392.32
2033,210603.6,28949.22,159407.09,142894.73
2034,214672.13,29828.47,159407.09,148397.15
2035,218740.62,30724.03,159407.09,153899.56
2036,222887.37,31638.72,159407.09,160013.35
2037,227190.6,32572.67,159407.09,165515.77
2038,231493.82,33528.41,159407.09,171629.56
2039,235953.53,34491.31,159407.09,177743.35
2040,240413.24,35469.88,159407.09,183857.15
