year,Base case cost,Chevak water and vacuum plant heat recovery
2019,1225884.4442,1206388.19925
2020,1291155.92099,1268675.16847
2021,1348165.61238,1323348.42669
2022,1397936.33312,1371055.24786
2023,1441074.45984,1412651.48045
2024,1481587.81575,1451644.43194
2025,1528799.25657,1497231.45439
2026,1579626.75876,1546330.03238
2027,1625408.78231,1590653.14559
2028,1675228.81062,1639033.80833
2029,1728497.92934,1690632.64817
2030,1773606.56267,1734589.64197
2031,1828422.12489,1787771.76716
2032,1887631.26111,1845365.2422
2033,1951118.7693,1907129.44846
2034,2012338.06978,1966767.3994
2035,2067678.63299,2020793.16814
2036,2134492.11186,2086058.0196
2037,2191504.85085,2141787.91932
2038,2264004.09596,2212644.74327
