year,Base case diesel consumed,Modeled transmission and interties
2021,307256.048238,153628.024119
2022,307256.048238,153628.024119
2023,306950.62473,153475.312365
2024,306797.912977,153398.956488
2025,306797.912977,153398.956488
2026,306797.912977,153398.956488
2027,306950.62473,153475.312365
2028,306950.62473,153475.312365
2029,306950.62473,153475.312365
2030,306950.62473,153475.312365
2031,307103.336484,153551.668242
2032,307103.336484,153551.668242
2033,307256.048238,153628.024119
2034,307256.048238,153628.024119
2035,307256.048238,153628.024119
2036,307256.048238,153628.024119
2037,307408.759991,153704.379996
2038,307408.759991,153704.379996
2039,307408.759991,153704.379996
2040,307561.471745,153780.735872
