year,Base case cost,Modeled wind power
2019,511062.069811,719882.616844
2020,541664.588961,735699.939687
2021,563086.352366,744818.220062
2022,578387.611942,749521.784803
2023,588510.553393,750363.007891
2024,597383.594955,750494.561449
2025,608078.441923,752212.49249
2026,621828.959454,756361.114611
2027,632839.919752,758685.841712
2028,642011.512792,759697.475268
2029,654240.303512,763131.227173
2030,661883.297712,763271.003436
2031,674448.817849,767305.858958
2032,688213.079437,772280.991972
2033,702327.814501,777731.166924
2034,716098.948118,782959.389703
2035,725279.703863,784874.098934
2036,740580.963439,791481.236867
2037,748604.973464,792854.530684
2038,763913.868626,799693.237908
