year,Base case cost,Modeled solar power (pv)
2016,334763.145956,347710.824885
2017,399163.586074,411330.234594
2018,446796.779595,458321.201192
2019,511062.069811,521834.422654
2020,541664.588961,551942.900656
2021,563086.352366,572946.914758
2022,578387.611942,587883.14972
2023,588510.553393,597681.752829
2024,597383.594955,606248.75464
2025,608078.441923,616634.175016
2026,621828.959454,630061.426878
2027,632839.919752,640777.470311
2028,642011.512792,649671.455064
2029,654240.303512,661608.66173
2030,661883.297712,668997.499898
2031,674448.817849,681284.628844
2032,688213.079437,694766.951572
2033,702327.814501,708606.267542
2034,716098.948118,722108.360918
2035,725279.703863,731055.746205
