year,Base case diesel consumed,Modeled solar power (pv)
2016,152859.883998,151717.192495
2017,152936.239875,151802.689904
2018,153012.595752,151888.114181
2019,153012.595752,151897.110033
2020,153012.595752,151906.033919
2021,153012.595752,151914.886414
2022,153012.595752,151923.668088
2023,152859.883998,151779.667756
2024,152783.528121,151711.953609
2025,152783.528121,151720.526205
2026,152783.528121,151729.030221
2027,152859.883998,151813.822081
2028,152859.883998,151822.190576
2029,152859.883998,151830.492123
2030,152859.883998,151838.727258
2031,152936.239875,151923.252389
2032,152936.239875,151931.356289
2033,153012.595752,152015.751234
2034,153012.595752,152023.72599
2035,153012.595752,152031.636949
