year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,136050.94,10356.16,103579.11,101960.74
2018,136454.65,10357.91,103579.11,101960.74
2019,137181.34,10361.48,103579.11,103272.39
2020,137100.59,10360.82,103579.11,103272.39
2021,137827.28,10364.54,103579.11,104584.04
2022,138553.96,10368.03,103579.11,104584.04
2023,139522.87,10372.42,103579.11,105895.69
2024,140491.77,10377.05,103579.11,107207.34
2025,141218.46,10380.61,103579.11,107207.34
2026,141541.43,10382.07,103579.11,108518.99
2027,141783.65,10383.0,103579.11,108518.99
2028,141622.17,10382.42,103579.11,108518.99
2029,141783.65,10383.11,103579.11,108518.99
2030,141056.97,10379.7,103579.11,107207.34
2031,141218.46,10380.45,103579.11,107207.34
2032,141379.94,10381.15,103579.11,108518.99
2033,141541.43,10381.91,103579.11,108518.99
2034,141299.2,10381.02,103579.11,108518.99
2035,141137.71,10380.14,103579.11,107207.34
2036,140734.0,10378.08,103579.11,107207.34
2037,140249.55,10375.71,103579.11,107207.34
2038,140007.32,10374.59,103579.11,105895.69
2039,139603.61,10372.94,103579.11,105895.69
2040,139361.38,10371.57,103579.11,105895.69
