year,annotation,Average Load
2003,,91.0
2004,,121.0
2005,,138.0
2006,,139.0
2007,,141.0
2008,,150.0
2009,,148.0
2010,,149.0
2011,,152.0
2012,,171.0
2013,,181.0
2014,start of forecast,167.0
2015,,169.0
2016,,169.0
2017,,169.0
2018,,170.0
2019,,171.0
2020,,170.0
2021,,171.0
2022,,172.0
2023,,173.0
2024,,175.0
2025,,176.0
2026,,176.0
2027,,176.0
2028,,176.0
2029,,176.0
2030,,175.0
2031,,176.0
2032,,176.0
2033,,176.0
2034,,176.0
2035,,175.0
2036,,175.0
2037,,174.0
2038,,174.0
2039,,174.0
2040,,173.0
