year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,796896.0,430699.0,366197.0
2004,,1063233.0,432291.0,630942.0
2005,,1212669.0,424940.0,787729.0
2006,,1215290.0,441553.0,773737.0
2007,,1239236.0,451205.0,788031.0
2008,,1314234.0,537006.0,777228.0
2009,,1292917.0,526711.0,766206.0
2010,,1306212.0,495920.0,810292.0
2011,,1327812.0,522969.0,804843.0
2012,,1493750.0,609107.0,884643.0
2013,,1589209.0,672952.0,916257.0
2014,start of forecast,1465689.0,597108.0,868581.0
2015,,1479495.0,610914.0,868581.0
2016,,1484159.0,615578.0,868581.0
2017,,1481969.0,613388.0,868581.0
2018,,1485984.0,617403.0,868581.0
2019,,1494200.0,625619.0,868581.0
2020,,1492685.0,624104.0,868581.0
2021,,1501254.0,632673.0,868581.0
2022,,1509281.0,640700.0,868581.0
2023,,1519371.0,650790.0,868581.0
2024,,1530027.0,661446.0,868581.0
2025,,1538226.0,669645.0,868581.0
2026,,1541581.0,673000.0,868581.0
2027,,1543707.0,675126.0,868581.0
2028,,1542376.0,673795.0,868581.0
2029,,1543981.0,675400.0,868581.0
2030,,1536131.0,667550.0,868581.0
2031,,1537848.0,669267.0,868581.0
2032,,1539462.0,670881.0,868581.0
2033,,1541216.0,672635.0,868581.0
2034,,1539166.0,670585.0,868581.0
2035,,1537136.0,668555.0,868581.0
2036,,1532401.0,663820.0,868581.0
2037,,1526944.0,658363.0,868581.0
2038,,1524380.0,655799.0,868581.0
2039,,1520580.0,651999.0,868581.0
2040,,1517430.0,648849.0,868581.0
