year,Base case cost,Modeled biomass for heat (cordwood)
2017,1339570.2763,1384146.69226
2018,1415146.98571,1449017.64099
2019,1523677.38373,1543950.07805
2020,1571464.02373,1584552.57097
2021,1613764.09115,1621561.11743
2022,1637824.65526,1641424.32959
2023,1665275.44268,1665505.31031
2024,1688513.53011,1685934.52926
2025,1704025.75892,1698400.42104
2026,1736390.03224,1726948.4061
2027,1751971.50694,1739538.43881
2028,1767537.23224,1752139.2085
2029,1785343.65694,1766740.63512
2030,1785849.47421,1764864.43792
2031,1805754.41421,1781348.3985
2032,1838722.56753,1810653.75355
2033,1858754.03224,1827311.85268
2034,1880993.57753,1845935.09761
2035,1883162.51421,1845573.80105
2036,1905261.88481,1864101.21513
