year,annotation,diesel generation efficiency
2002,,10.39
2003,,10.19
2004,,13.11
2005,,13.88
2006,,12.32
2007,,11.78
2008,,10.05
2009,,13.95
2010,,13.51
2011,,14.01
2012,,11.38
2013,,11.77
2014,start of forecast,12.39
2015,,12.39
2016,,12.39
2017,,12.39
2018,,12.39
2019,,12.39
2020,,12.39
2021,,12.39
2022,,12.39
2023,,12.39
2024,,12.39
2025,,12.39
2026,,12.39
2027,,12.39
2028,,12.39
2029,,12.39
2030,,12.39
2031,,12.39
2032,,12.39
2033,,12.39
2034,,12.39
2035,,12.39
2036,,12.39
2037,,12.39
2038,,12.39
2039,,12.39
2040,,12.39
