year,Base case diesel consumed,Buckland (hunter creek)
2021,137827.275003,104273.463523
2022,138553.956594,105000.145114
2023,139522.865381,105969.053901
2024,140491.774169,106937.962688
2025,141218.455759,107664.644279
2026,141541.425355,107987.613875
2027,141783.652552,108229.841071
2028,141622.167754,108068.356274
2029,141783.652552,108229.841071
2030,141056.970961,107503.159481
2031,141218.455759,107664.644279
2032,141379.940557,107826.129077
2033,141541.425355,107987.613875
2034,141299.198158,107745.386678
2035,141137.71336,107583.90188
2036,140734.001365,107180.189885
2037,140249.546972,106695.735491
2038,140007.319775,106453.508295
2039,139603.60778,106049.7963
2040,139361.380583,105807.569103
2041,138957.668589,105403.857108
2042,138473.214195,104919.402715
2043,138150.244599,104596.433119
2044,137746.532604,104192.721124
2045,137100.593413,103546.781933
2046,137019.851014,103466.039534
2047,136696.881418,103143.069938
2048,136616.139019,103062.327539
2049,136131.684625,102577.873145
2050,136212.427024,102658.615544
2051,136212.427024,102658.615544
2052,136212.427024,102658.615544
2053,136212.427024,102658.615544
2054,136212.427024,102658.615544
2055,136212.427024,102658.615544
2056,136212.427024,102658.615544
2057,136212.427024,102658.615544
2058,136212.427024,102658.615544
2059,136212.427024,102658.615544
2060,136212.427024,102658.615544
2061,136212.427024,102658.615544
2062,136212.427024,102658.615544
2063,136212.427024,102658.615544
2064,136212.427024,102658.615544
2065,136212.427024,102658.615544
2066,136212.427024,102658.615544
2067,136212.427024,102658.615544
2068,136212.427024,102658.615544
2069,136212.427024,102658.615544
2070,136212.427024,102658.615544
