year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10356.1610377,6731.50467452
2018,10357.9059541,6732.63887016
2019,10361.4773213,6734.96025881
2020,10360.8185072,6734.5320297
2021,10364.5433352,6736.95316789
2022,10368.0322339,6739.220952
2023,10372.4176106,6742.07144691
2024,10377.049192,6745.08197478
2025,10380.6130862,6747.39850606
2026,10382.0709641,6748.34612669
2027,10382.9950652,6748.9467924
2028,10382.4168515,6748.57095348
2029,10383.1140975,6749.02416335
2030,10379.702463,6746.80660096
2031,10380.4484161,6747.29147046
