year,Base case cost,Modeled wind power
2019,402736.562794,587474.627778
2020,431023.095416,600455.953862
2021,452303.356324,609170.851946
2022,469277.562823,615238.33902
2023,482772.689768,619318.46767
2024,494633.97448,622436.646283
2025,508059.088613,626872.85285
2026,524029.568184,633213.405964
2027,538205.103376,638551.238297
2028,550670.630148,642837.424117
2029,566727.014712,649998.358
2030,578598.5712,654410.118244
2031,595895.07889,662708.327848
2032,612667.726011,670573.689097
2033,629629.819566,678749.260334
2034,647125.36714,687380.320906
2035,660391.220296,693333.440202
2036,678754.103055,702994.175541
2037,692075.045877,709387.936312
2038,711340.536714,720103.073812
