year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,136634.0,10184.83,117448.32,63172.76
2018,137942.2,10375.41,117448.32,64694.1
2019,139323.07,10570.3,117448.32,66215.45
2020,140703.95,10765.87,117448.32,67736.8
2021,142084.82,10959.08,117448.32,69258.15
2022,143393.02,11152.66,117448.32,70779.49
2023,144773.9,11345.47,117448.32,72300.84
2024,146082.1,11540.9,117448.32,74582.86
2025,147462.97,11736.98,117448.32,76104.21
2026,148843.85,11933.79,117448.32,77625.56
2027,150224.72,12128.32,117448.32,79146.9
2028,151532.92,12320.62,117448.32,80668.25
2029,153059.15,12535.66,117448.32,82950.27
2030,154512.7,12745.12,117448.32,84471.62
2031,155966.26,12946.53,117448.32,85992.97
2032,157201.78,13127.22,117448.32,87514.32
2033,158437.3,13300.27,117448.32,89035.66
2034,159600.14,13471.68,117448.32,90557.01
2035,160835.66,13646.03,117448.32,92078.36
2036,162071.18,13827.29,117448.32,93599.71
2037,163379.38,14013.83,117448.32,95121.05
2038,164687.58,14195.29,117448.32,96642.4
2039,165850.42,14363.98,117448.32,98163.75
2040,166940.58,14522.5,117448.32,98924.42
