year,Base case diesel consumed,Modeled solar power
2020,140703.948449,138672.896591
2021,142084.823976,140070.020533
2022,143393.021844,141394.336828
2023,144773.897371,142791.201835
2024,146082.095239,144115.261267
2025,147462.970766,145511.871466
2026,148843.846293,146908.355788
2027,150224.721821,148304.715239
2028,151532.919688,149628.273159
2029,153059.150534,151169.741177
2030,154512.703721,152638.409639
2031,155966.256907,154106.957178
2032,157201.777116,155357.351784
2033,158437.297324,156607.627395
2034,159600.139873,157785.107304
2035,160835.660082,159035.147773
2036,162071.18029,160285.07208
2037,163379.378158,161607.558813
2038,164687.576026,162929.931236
2039,165850.418575,164106.834944
