year,Base case diesel consumed,Modeled wind power
2019,139323.072922,92770.2783489
2020,140703.948449,94151.153876
2021,142084.823976,95532.0294032
2022,143393.021844,96840.227271
2023,144773.897371,98221.1027981
2024,146082.095239,99529.3006659
2025,147462.970766,100910.176193
2026,148843.846293,102291.05172
2027,150224.721821,103671.927247
2028,151532.919688,104980.125115
2029,153059.150534,106506.355961
2030,154512.703721,107959.909147
2031,155966.256907,109413.462334
2032,157201.777116,110648.982542
2033,158437.297324,111884.502751
2034,159600.139873,113047.3453
2035,160835.660082,114282.865508
2036,162071.18029,115518.385717
2037,163379.378158,116826.583585
2038,164687.576026,118134.781453
