year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,1393646
2004,,0,0,0,0,0,1451257
2005,,0,0,0,0,0,1487364
2006,,0,0,0,0,0,1480606
2007,,0,0,0,0,0,1518449
2008,,0,0,0,0,0,1858938
2009,,0,0,0,0,0,1850895
2010,,0,0,0,0,0,1773422
2011,,0,0,0,0,0,1780774
2012,,0,0,0,0,0,1844344
2013,,0,0,0,0,0,1766646
2014,start of forecast,0,0,0,0,0,1826000
2015,,0,0,0,0,0,1844000
2016,,0,0,0,0,0,1862000
2017,,0,0,0,0,0,1880000
2018,,0,0,0,0,0,1898000
2019,,0,0,0,0,0,1917000
2020,,0,0,0,0,0,1936000
2021,,0,0,0,0,0,1955000
2022,,0,0,0,0,0,1973000
2023,,0,0,0,0,0,1992000
2024,,0,0,0,0,0,2010000
2025,,0,0,0,0,0,2029000
2026,,0,0,0,0,0,2048000
2027,,0,0,0,0,0,2067000
2028,,0,0,0,0,0,2085000
2029,,0,0,0,0,0,2106000
2030,,0,0,0,0,0,2126000
2031,,0,0,0,0,0,2146000
2032,,0,0,0,0,0,2163000
2033,,0,0,0,0,0,2180000
2034,,0,0,0,0,0,2196000
2035,,0,0,0,0,0,2213000
2036,,0,0,0,0,0,2230000
2037,,0,0,0,0,0,2248000
2038,,0,0,0,0,0,2266000
2039,,0,0,0,0,0,2282000
2040,,0,0,0,0,0,2297000
