year,Base case cost,Modeled solar power
2020,431023.095416,445795.564853
2021,452303.356324,466445.299929
2022,469277.562823,482864.090757
2023,482772.689768,495870.545882
2024,494633.97448,507275.553053
2025,508059.088613,520239.607857
2026,524029.568184,535728.894644
2027,538205.103376,549459.927152
2028,550670.630148,561511.707475
2029,566727.014712,577131.480608
2030,578598.5712,588626.594521
2031,595895.07889,605492.609034
2032,612667.726011,621843.502572
2033,629629.819566,638393.616193
2034,647125.36714,655479.486634
2035,660391.220296,668397.950711
2036,678754.103055,686367.095483
2037,692075.045877,699363.655323
2038,711340.536714,718250.614423
2039,726535.400305,733114.074719
