year,Base case cost,Modeled residential energy efficiency
2017,654653.297026,704908.62629
2018,700736.264356,742802.585173
2019,759998.336176,792197.897279
2020,796853.007202,822781.420853
2021,827814.500024,848507.235028
2022,855365.127606,871453.908361
2023,879719.393888,891773.359273
2024,911122.735592,919404.821868
2025,935774.943315,940205.373982
2026,962995.398193,963346.646324
2027,988665.421308,985244.483573
2028,1013077.12283,1006140.78014
2029,1048919.14891,1038211.05423
2030,1072520.68368,1058587.13994
2031,1101626.7647,1083904.05617
2032,1131217.82748,1109750.02895
2033,1161191.71642,1136033.76694
2034,1192201.31229,1163333.76641
2035,1218752.67909,1186763.97457
2036,1250718.92281,1215099.8162
