year,annotation,Average Load
2003,,149.0
2004,,153.0
2005,,159.0
2006,,161.0
2007,,163.0
2008,,200.0
2009,,200.0
2010,,191.0
2011,,192.0
2012,,199.0
2013,,190.0
2014,start of forecast,197.0
2015,,199.0
2016,,201.0
2017,,203.0
2018,,205.0
2019,,207.0
2020,,209.0
2021,,211.0
2022,,213.0
2023,,215.0
2024,,217.0
2025,,219.0
2026,,221.0
2027,,223.0
2028,,225.0
2029,,227.0
2030,,229.0
2031,,232.0
2032,,233.0
2033,,235.0
2034,,237.0
2035,,239.0
2036,,241.0
2037,,243.0
2038,,244.0
2039,,246.0
2040,,248.0
