year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.34
2004,,1.64,2.34
2005,,1.83,3.96
2008,,3.13,5.79
2009,,3.93,8.71
2010,,2.91,5.36
2011,,3.31,5.3
2012,,3.97,6.84
2013,,3.97,6.24
2014,,,6.26
2016,start of forecast,1.84,4.04
2017,,2.19,4.39
2018,,2.45,4.65
2019,,2.81,5.01
2020,,2.98,5.18
2021,,3.09,5.29
2022,,3.18,5.38
2023,,3.24,5.44
2024,,3.29,5.49
2025,,3.35,5.55
2026,,3.42,5.62
2027,,3.48,5.68
2028,,3.53,5.73
2029,,3.6,5.8
2030,,3.64,5.84
2031,,3.71,5.91
2032,,3.79,5.99
2033,,3.86,6.06
2034,,3.94,6.14
2035,,3.99,6.19
2036,,4.07,6.27
2037,,4.12,6.32
2038,,4.2,6.4
2039,,4.26,6.46
2040,,4.34,6.54
