year,Base case diesel consumed,Modeled transmission and interties
2021,450309.346985,0.0
2022,454118.565213,0.0
2023,458002.473994,0.0
2024,461961.073329,0.0
2025,465994.363217,0.0
2026,470102.343659,0.0
2027,474210.324101,0.0
2028,478467.68565,0.0
2029,482725.047199,0.0
2030,487131.789855,0.0
2031,491538.53251,0.0
2032,496094.656273,0.0
2033,500650.780036,0.0
2034,505281.594352,0.0
2035,510061.789776,0.0
2036,514916.675753,0.0
2037,519920.942836,0.0
2038,525074.591027,0.0
2039,530228.239218,0.0
2040,535531.268515,0.0
