year,Base case cost,Modeled wind power
2019,1152135.53,1434524.46191
2020,1233373.52274,1505658.49217
2021,1289573.60523,1555320.71658
2022,1339618.09967,1600016.05441
2023,1377528.88962,1634360.73995
2024,1411648.37257,1665508.46923
2025,1450996.91421,1701290.90646
2026,1495358.76951,1741492.30662
2027,1535861.41277,1778428.84547
2028,1572977.79683,1812573.47586
2029,1619491.74745,1854926.97134
2030,1653522.65027,1886580.47123
2031,1701674.52143,1930571.88724
2032,1755634.44859,1979777.00853
2033,1805646.61348,2025628.71828
2034,1861315.59307,2076542.892
2035,1904008.91087,2116264.45612
2036,1961943.90802,2169444.6474
2037,2006664.14143,2211193.12713
2038,2067273.71758,2267047.8974
