year,Base case diesel consumed,Modeled residential ashp
2017,8942.40103883,-22740.2054434
2018,8734.76982613,-22947.8366561
2019,8734.76982613,-22947.8366561
2020,8527.13861343,-23155.4678688
2021,8527.13861343,-23155.4678688
2022,8319.50740072,-23363.0990815
2023,8111.87618802,-23570.7302942
2024,7904.24497532,-23778.3615069
2025,7696.61376262,-23985.9927196
2026,7488.98254992,-24193.6239323
2027,7281.35133722,-24401.255145
2028,7073.72012451,-24608.8863577
2029,6866.08891181,-24816.5175704
2030,6450.82648641,-25231.7799958
2031,6243.19527371,-25439.4112085
