year,annotation,diesel generation efficiency
2002,,12.55
2003,,13.08
2004,,12.93
2005,,13.02
2006,,13.94
2007,,13.64
2008,,14.14
2009,,12.79
2010,,12.92
2011,,13.14
2012,,13.44
2013,,14.0
2016,start of forecast,13.52
2017,,13.52
2018,,13.52
2019,,13.52
2020,,13.52
2021,,13.52
2022,,13.52
2023,,13.52
2024,,13.52
2025,,13.52
2026,,13.52
2027,,13.52
2028,,13.52
2029,,13.52
2030,,13.52
2031,,13.52
2032,,13.52
2033,,13.52
2034,,13.52
2035,,13.52
2036,,13.52
2037,,13.52
2038,,13.52
2039,,13.52
2040,,13.52
