year,Base case diesel consumed,Modeled solar power (pv)
2016,109433.466772,107800.022372
2017,109359.525241,107739.148395
2018,109433.466772,107826.052942
2019,109433.466772,107838.912252
2020,109433.466772,107851.668689
2021,109433.466772,107864.323073
2022,109507.408304,107950.817755
2023,109507.408304,107963.270479
2024,109581.349836,108049.565113
2025,109581.349836,108061.819391
2026,109581.349836,108073.975634
2027,109581.349836,108086.034628
2028,109581.349836,108097.99715
2029,109655.291367,108183.805503
2030,109655.291367,108195.57739
2031,109655.291367,108207.255102
2032,109655.291367,108218.839392
2033,109655.291367,108230.331007
2034,109729.232899,108315.672222
2035,109877.115962,108474.863771
