year,Base case diesel consumed,Modeled wind power,Chefornak wind heat system
2019,129378.705414,94901.4274868,88846.3391518
2020,130044.081613,95566.8036861,89511.7153511
2021,130635.527124,96158.2491965,90103.1608615
2022,131153.041946,96675.7640182,90620.6756832
2023,131744.487456,97267.2095287,91212.1211936
2024,132262.002278,97784.7243503,91729.6360153
2025,132779.517099,98302.239172,92247.150837
2026,133370.96261,98893.6846824,92838.5963474
2027,134036.338809,99559.0608817,93503.9725467
2028,134701.715008,100224.437081,94169.348746
2029,135293.160519,100815.882591,94760.7942564
2030,135884.606029,101407.328102,95352.2397669
2031,136476.05154,101998.773612,95943.6852774
2032,137067.49705,102590.219123,96535.1307878
2033,137585.011872,103107.733944,97052.6456095
2034,138176.457382,103699.179455,97644.09112
2035,138989.694959,104512.417032,98457.3286968
2036,139581.14047,105103.862542,99048.7742073
2037,140172.58598,105695.308053,99640.2197178
2038,140764.031491,106286.753563,100231.665228
