year,Base case cost,Modeled water and wastewater efficiency
2017,20474.4611781,17270.9592813
2018,21899.2084729,17996.3780562
2019,23877.0350015,19058.2570396
2020,24688.4142698,19454.4006882
2021,25243.4642997,19703.1329384
2022,25644.8274306,19864.5847126
2023,25889.1952445,19937.990138
2024,26027.8790797,19953.459846
2025,26267.1052299,20032.6822084
2026,26549.3960124,20144.5357011
2027,26759.021349,20226.5087696
2028,26849.5197039,20248.5536498
2029,27121.5657749,20368.4158307
2030,27237.4380479,20399.207986
2031,27504.418255,20524.2584441
