year,Base case diesel consumed,Modeled solar power (pv)
2016,127382.576816,125167.668638
2017,128047.953016,125850.764103
2018,128713.329215,126533.717813
2019,129378.705414,127216.530904
2020,130044.081613,127899.204499
2021,130635.527124,128507.809026
2022,131153.041946,129042.345593
2023,131744.487456,129650.676674
2024,132262.002278,130184.941982
2025,132779.517099,130719.073286
2026,133370.96261,131327.002347
2027,134036.338809,132008.730228
2028,134701.715008,132690.327296
2029,135293.160519,133297.863908
2030,135884.606029,133905.271792
2031,136476.05154,134512.551976
2032,137067.49705,135119.705483
2033,137585.011872,135652.802637
2034,138176.457382,136259.705822
2035,138989.694959,137088.277411
