year,Base case cost,Modeled solar power (pv)
2016,262408.108242,277544.57027
2017,314997.964418,328867.816229
2018,353961.655341,366828.510092
2019,407542.922055,419188.556359
2020,433046.791773,443966.149306
2021,451998.923849,462313.521753
2022,466904.829326,476691.12573
2023,478232.489465,487565.157366
2024,486724.168382,495655.354908
2025,497923.189123,506421.396415
2026,510810.786796,518865.728437
2027,522741.721355,530383.933439
2028,532071.774283,539351.200895
2029,545231.436891,552097.081321
2030,554409.1926,560930.056602
2031,567740.374405,573866.019488
2032,581166.187493,586905.833316
2033,595743.101405,601086.449188
2034,609358.177056,614333.53475
2035,621283.936468,625937.974586
