year,Base case cost,Modeled wind power,Chefornak wind heat system
2019,407542.922055,626081.397283,722663.454117
2020,433046.791773,640125.805405,733672.034618
2021,451998.923849,649230.504165,740048.001493
2022,466904.829326,655310.712926,743602.341777
2023,478232.489465,658831.099418,744798.59239
2024,486724.168382,660237.241796,744029.689722
2025,497923.189123,663895.506252,745454.772929
2026,510810.786796,669077.491085,748395.924296
2027,522741.721355,673721.84054,750893.833738
2028,532071.774283,676474.841866,751645.321151
2029,545231.436891,682296.866612,755352.091598
2030,554409.1926,685134.28603,756268.781159
2031,567740.374405,691358.997138,760457.128602
2032,581166.187493,697789.875673,764889.707518
2033,595743.101405,705187.327697,770274.494639
2034,609358.177056,712022.760059,775185.100034
2035,621283.936468,717859.650605,779235.687782
2036,636490.000542,726197.939803,785667.681796
2037,646195.621369,730308.64657,788112.049652
2038,661590.948006,739032.004575,794995.935454
