year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,204064.52,4182.31,121659.42,33091.15
2018,204563.37,4209.1,121659.42,33930.73
2019,205267.34,4235.18,121659.42,33930.73
2020,205661.02,4259.85,121659.42,33930.73
2021,206266.71,4289.38,121659.42,34770.3
2022,206957.03,4324.74,121659.42,34770.3
2023,207373.22,4345.02,121659.42,35609.88
2024,207674.37,4361.19,121659.42,35609.88
2025,208045.57,4379.14,121659.42,35609.88
2026,208555.45,4405.74,121659.42,36449.46
2027,209660.23,4463.32,121659.42,37289.04
2028,210101.62,4483.76,121659.42,37289.04
2029,210615.42,4511.61,121659.42,37289.04
2030,210909.97,4525.99,121659.42,38128.62
2031,211204.02,4542.27,121659.42,38128.62
2032,211865.56,,,38128.62
2033,212233.26,,,38968.2
2034,212527.32,,,38968.2
2035,212747.86,,,38968.2
2036,212968.44,,,38968.2
