year,Base case diesel consumed,Modeled non-residential ashp
2017,121659.415028,85161.5905564
2018,121659.415028,85161.5905564
2019,121659.415028,85161.5905564
2020,121659.415028,85161.5905564
2021,121659.415028,85161.5905564
2022,121659.415028,85161.5905564
2023,121659.415028,85161.5905564
2024,121659.415028,85161.5905564
2025,121659.415028,85161.5905564
2026,121659.415028,85161.5905564
2027,121659.415028,85161.5905564
2028,121659.415028,85161.5905564
2029,121659.415028,85161.5905564
2030,121659.415028,85161.5905564
2031,121659.415028,85161.5905564
