year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,17649.98,513421.23,161708.25,-2083.08,-25074.56,-34385.46
2018,18773.23,542619.49,173954.44,-1754.5,-20419.11,-29207.52
2019,20287.17,582767.1,185151.58,-1291.22,-13901.48,-21349.1
2020,21086.9,602232.61,190580.5,-1067.59,-10921.99,-17538.95
2021,21662.03,614398.55,198773.24,-929.7,-8687.37,-15390.81
2022,22186.59,624131.3,201554.86,-820.23,-7197.63,-13456.43
2023,22551.31,631430.87,208558.29,-735.58,-6080.32,-12187.55
2024,22809.69,636297.24,209982.68,-679.09,-5149.23,-11205.7
2025,23166.34,643596.81,212119.28,-592.51,-4218.14,-9732.93
2026,23571.37,650896.37,219307.41,-506.21,-2728.4,-8383.45
2027,24147.24,658195.94,226596.29,-421.93,-1797.3,-6990.01
2028,24482.0,664278.91,228460.75,-347.37,-866.21,-5726.07
2029,24904.78,671578.47,230698.09,-257.1,437.31,-4209.34
2030,25165.19,676444.85,237417.5,-196.02,1182.18,-3244.53
2031,25528.26,683744.42,239705.22,-103.47,2485.71,-1705.82
2032,,,242374.22,,,89.34
2033,,,250439.0,,,1911.43
2034,,,253166.77,,,3732.24
2035,,,255115.18,,,5032.82
2036,,,257842.95,,,6853.63
