year,Base case cost,Modeled biomass for heat (cordwood)
2017,1345847.27993,1601904.57647
2018,1471908.38993,1701969.79156
2019,1638769.07892,1835134.72639
2020,1727161.06892,1904009.34697
2021,1776579.54791,1939490.13354
2022,1816359.20689,1967001.90246
2023,1837396.26588,1979001.29258
2024,1858232.68486,1990901.96996
2025,1878868.46385,2002701.54572
2026,1901397.42182,2014928.58208
2027,1926016.61081,2030122.23851
2028,1945899.98979,2041454.24922
2029,1962723.37776,2049035.33657
2030,1970208.90573,2048929.89562
2031,1990564.26371,2059436.23466
2032,2018080.06269,2077187.32699
2033,2049696.31168,2098339.74361
2034,2081011.60066,2119271.60668
2035,2099022.33965,2129321.82742
2036,2121538.62762,2141609.89294
