year,Base case cost,Modeled biomass for heat (pellet)
2017,1345847.27993,1484457.01838
2018,1471908.38993,1584887.74413
2019,1638769.07892,1717578.70917
2020,1727161.06892,1787329.33267
2021,1776579.54791,1824177.81472
2022,1816359.20689,1853159.53751
2023,1837396.26588,1866888.69871
2024,1858232.68486,1880467.61636
2025,1878868.46385,1893895.10933
2026,1901397.42182,1907544.62688
2027,1926016.61081,1924190.9189
2028,1945899.98979,1937006.84436
2029,1962723.37776,1945947.93174
2030,1970208.90573,1947314.08732
2031,1990564.26371,1959013.93602
2032,2018080.06269,1977915.91271
2033,2049696.31168,2000099.44125
2034,2081011.60066,2022021.76558
2035,2099022.33965,2033257.18826
2036,2121538.62762,2046457.24968
