year,Base case cost,Modeled non-residential energy efficiency
2017,2474474.95739,2249763.69255
2018,2571138.54288,2337802.36308
2019,2703603.45633,2460237.59376
2020,2771625.97946,2521054.75018
2021,2814587.57301,2557970.44877
2022,2850388.90097,2588127.33346
2023,2871869.69774,2604665.06947
2024,2893350.49452,2621297.40609
2025,2914831.29129,2638022.12616
2026,2943472.35366,2661695.07429
2027,2968533.28323,2682027.12116
2028,2990014.08001,2699016.20191
2029,3015075.00958,2719518.3098
2030,3032975.67356,2733244.46082
2031,3061616.73593,2757337.75646
