year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,466893.0,380932.189098
2018,466893.0,380932.189098
2019,465221.0,379260.189098
2020,465221.0,379260.189098
2021,463549.0,377588.189098
2022,461877.0,375916.189098
2023,460205.0,374244.189098
2024,458533.0,372572.189098
2025,456861.0,370900.189098
2026,453517.0,367556.189098
2027,451845.0,365884.189098
2028,450173.0,364212.189098
2029,446829.0,360868.189098
2030,443485.0,357524.189098
2031,440141.0,354180.189098
2032,438469.0,352508.189098
2033,436797.0,350836.189098
2034,435125.0,349164.189098
2035,433453.0,347492.189098
2036,430109.0,344148.189098
