year,Base case cost,Modeled residential energy efficiency
2017,1681491.51333,1787092.07093
2018,1786710.74364,1875517.47483
2019,1908756.66177,1975171.6244
2020,1977207.9713,2032427.04965
2021,2032565.67885,2080320.83435
2022,2068257.84753,2109793.06732
2023,2091648.00999,2129451.26836
2024,2102420.13579,2137113.4263
2025,2119313.10369,2149652.4392
2026,2139191.09009,2164554.47704
2027,2167639.04975,2189270.47527
2028,2191270.50034,2209169.96443
2029,2157510.09373,2171055.60283
2030,2128987.7902,2140045.32501
2031,2127043.59427,2133125.18052
2032,2169059.53168,2169543.17579
2033,2224311.93745,2219819.63299
2034,2277996.76153,2267906.51493
2035,2309309.22652,2296109.01207
2036,2325968.31567,2307170.15907
